Sample	ANC IV
Comments	
Filename	C:\Users\SR\Desktop\KV257~1.18\ANCIV_~1.ASC
Goniometer	MiniFlex 300/600 +
Attachment	Standard Sample Holder
Monochromater	None
10	1218.33
10.02	1278.33
10.04	1288.33
10.06	1115
10.08	1088.33
10.1	1196.67
10.12	1225
10.14	1103.33
10.16	1196.67
10.18	1211.67
10.2	1115
10.22	1201.67
10.24	1193.33
10.26	1166.67
10.28	1136.67
10.3	1165
10.32	1205
10.34	1163.33
10.36	1170
10.38	1191.67
10.4	1243.33
10.42	1193.33
10.44	1163.33
10.46	1168.33
10.48	1156.67
10.5	1151.67
10.52	1146.67
10.54	1185
10.56	1183.33
10.58	1160
10.6	1213.33
10.62	1161.67
10.64	1095
10.66	1171.67
10.68	1216.67
10.7	1275
10.72	1231.67
10.74	1155
10.76	1143.33
10.78	1118.33
10.8	1211.67
10.82	1115
10.84	1040
10.86	1148.33
10.88	1175
10.9	1131.67
10.92	1095
10.94	1120
10.96	1135
10.98	1093.33
11	1068.33
11.02	1011.67
11.04	1021.67
11.06	1110
11.08	1101.67
11.1	1131.67
11.12	1143.33
11.14	1088.33
11.16	1131.67
11.18	1161.67
11.2	1071.67
11.22	1025
11.24	1103.33
11.26	1088.33
11.28	1046.67
11.3	1103.33
11.32	1115
11.34	1106.67
11.36	1100
11.38	1040
11.4	1063.33
11.42	1091.67
11.44	1098.33
11.46	1085
11.48	1065
11.5	1076.67
11.52	1106.67
11.54	1085
11.56	1113.33
11.58	1143.33
11.6	1101.67
11.62	1066.67
11.64	1116.67
11.66	1128.33
11.68	1110
11.7	1086.67
11.72	1066.67
11.74	1105
11.76	1063.33
11.78	1050
11.8	1080
11.82	1065
11.84	1036.67
11.86	1043.33
11.88	1046.67
11.9	1086.67
11.92	1080
11.94	1083.33
11.96	1060
11.98	1095
12	1068.33
12.02	1071.67
12.04	1061.67
12.06	1098.33
12.08	1143.33
12.1	1085
12.12	1060
12.14	1111.67
12.16	1153.33
12.18	1131.67
12.2	1103.33
12.22	1048.33
12.24	1065
12.26	1101.67
12.28	1101.67
12.3	1100
12.32	1095
12.34	1076.67
12.36	1081.67
12.38	1063.33
12.4	1068.33
12.42	1038.33
12.44	996.667
12.46	1035
12.48	1025
12.5	1035
12.52	1063.33
12.54	1046.67
12.56	1013.33
12.58	1001.67
12.6	1053.33
12.62	1061.67
12.64	1026.67
12.66	1053.33
12.68	1050
12.7	1013.33
12.72	1046.67
12.74	1025
12.76	1058.33
12.78	1031.67
12.8	1003.33
12.82	983.333
12.84	988.333
12.86	1030
12.88	1001.67
12.9	970
12.92	1016.67
12.94	1070
12.96	1070
12.98	1076.67
13	1015
13.02	991.667
13.04	1066.67
13.06	1081.67
13.08	1031.67
13.1	980
13.12	963.333
13.14	978.333
13.16	948.333
13.18	968.333
13.2	1023.33
13.22	995
13.24	948.333
13.26	978.333
13.28	1033.33
13.3	1013.33
13.32	996.667
13.34	986.667
13.36	998.333
13.38	1006.67
13.4	1003.33
13.42	990
13.44	1023.33
13.46	1021.67
13.48	985
13.5	1033.33
13.52	1026.67
13.54	990
13.56	963.333
13.58	976.667
13.6	965
13.62	973.333
13.64	1020
13.66	1013.33
13.68	1001.67
13.7	1010
13.72	1000
13.74	983.333
13.76	968.333
13.78	973.333
13.8	1013.33
13.82	998.333
13.84	961.667
13.86	970
13.88	953.333
13.9	938.333
13.92	955
13.94	933.333
13.96	953.333
13.98	1000
14	971.667
14.02	923.333
14.04	921.667
14.06	956.667
14.08	950
14.1	923.333
14.12	911.667
14.14	925
14.16	923.333
14.18	916.667
14.2	903.333
14.22	931.667
14.24	943.333
14.26	931.667
14.28	908.333
14.3	948.333
14.32	995
14.34	970
14.36	956.667
14.38	936.667
14.4	915
14.42	891.667
14.44	890
14.46	966.667
14.48	1000
14.5	941.667
14.52	930
14.54	961.667
14.56	945
14.58	926.667
14.6	908.333
14.62	900
14.64	893.333
